#,Signal_ET,Direction,Container_High,Container_Low,Entry_Price,Exit_Price,PnL_Points,PnL_USD,Exit_Reason,Signal_UTC,Fill_UTC,Exit_UTC
29,2025-11-20 10:48,SHORT,25300.00,25262.00,25240.75,25232.75,7.75,556.14,TP,2025-11-20 15:48,2025-11-20 15:49,2025-11-20 15:49
30,2025-11-20 10:59,SHORT,25206.00,25168.50,25162.50,25154.50,7.75,556.14,TP,2025-11-20 15:59,2025-11-20 16:00,2025-11-20 16:00
31,2025-11-21 10:43,LONG,24001.50,23946.75,24005.25,24013.25,7.75,556.14,TP,2025-11-21 15:43,2025-11-21 15:44,2025-11-21 15:44
32,2025-11-24 10:05,LONG,24748.75,24723.25,24761.50,24769.50,7.75,556.14,TP,2025-11-24 15:05,2025-11-24 15:06,2025-11-24 15:06
33,2025-11-24 10:14,LONG,24720.50,24664.00,24734.75,24742.75,7.75,556.14,TP,2025-11-24 15:14,2025-11-24 15:15,2025-11-24 15:15
34,2025-11-24 10:45,LONG,24807.00,24793.50,24814.00,24804.00,-10.25,-847.86,SL,2025-11-24 15:45,2025-11-24 15:46,2025-11-24 15:46
35,2025-11-25 10:07,LONG,24744.50,24663.50,24753.25,24761.25,7.75,556.14,TP,2025-11-25 15:07,2025-11-25 15:08,2025-11-25 15:08
36,2025-11-26 10:32,LONG,25204.75,25191.00,25208.75,25198.75,-10.25,-847.86,SL,2025-11-26 15:32,2025-11-26 15:33,2025-11-26 15:33
37,2025-11-27 10:12,LONG,25302.25,25296.75,25305.75,25295.75,-10.25,-847.86,SL,2025-11-27 15:12,2025-11-27 15:13,2025-11-27 15:31
38,2025-11-28 10:01,LONG,25378.00,25362.25,25381.75,25371.75,-10.25,-847.86,SL,2025-11-28 15:01,2025-11-28 15:02,2025-11-28 15:03
39,2025-11-28 10:33,LONG,25374.75,25362.75,25381.00,25389.00,7.75,556.14,TP,2025-11-28 15:33,2025-11-28 15:34,2025-11-28 15:34
40,2025-12-01 10:00,LONG,25366.75,25333.50,25371.50,25361.50,-10.25,-847.86,SL,2025-12-01 15:00,2025-12-01 15:01,2025-12-01 15:01
41,2025-12-01 10:24,SHORT,25349.75,25334.00,25333.25,25325.25,7.75,556.14,TP,2025-12-01 15:24,2025-12-01 15:25,2025-12-01 15:25
