#,Signal_ET,Direction,Close,EMA13,EMA34,Entry,Exit,PnL_Pts,PnL_USD,Reason,Signal_UTC,Entry_UTC,Exit_UTC
33,2025-11-27 11:24,LONG,25298.50,25297.13,25297.02,25298.25,25296.75,-1.75,-4.74,EOD,2025-11-27 16:24,2025-11-27 16:25,2025-11-27 17:00
34,2025-11-28 10:05,SHORT,25358.50,25374.61,25375.76,25359.00,25371.00,-12.25,-25.74,SL,2025-11-28 15:05,2025-11-28 15:06,2025-11-28 15:06
35,2025-11-28 10:15,LONG,25389.75,25376.99,25376.02,25390.25,25400.25,9.75,18.26,TP,2025-11-28 15:15,2025-11-28 15:16,2025-11-28 15:21
36,2025-11-28 10:28,SHORT,25371.50,25379.10,25379.27,25370.75,25360.75,9.75,18.26,TP,2025-11-28 15:28,2025-11-28 15:29,2025-11-28 15:29
37,2025-11-28 10:36,LONG,25388.50,25379.52,25378.74,25389.25,25377.25,-12.25,-25.74,SL,2025-11-28 15:36,2025-11-28 15:37,2025-11-28 15:38
38,2025-11-28 11:26,SHORT,25380.25,25408.63,25411.01,25380.50,25370.50,9.75,18.26,TP,2025-11-28 16:26,2025-11-28 16:27,2025-11-28 16:27
39,2025-11-28 11:48,LONG,25413.25,25405.79,25405.15,25414.00,25424.00,9.75,18.26,TP,2025-11-28 16:48,2025-11-28 16:49,2025-11-28 16:52
40,2025-12-01 10:29,SHORT,25323.75,25339.62,25340.61,25323.75,25313.75,9.75,18.26,TP,2025-12-01 15:29,2025-12-01 15:30,2025-12-01 15:30
41,2025-12-01 10:49,LONG,25341.50,25331.82,25331.51,25341.75,25351.75,9.75,18.26,TP,2025-12-01 15:49,2025-12-01 15:50,2025-12-01 15:50
42,2025-12-01 11:15,SHORT,25338.00,25366.66,25369.24,25338.00,25328.00,9.75,18.26,TP,2025-12-01 16:15,2025-12-01 16:16,2025-12-01 16:16
43,2025-12-01 11:26,LONG,25384.25,25369.48,25368.04,25384.25,25372.25,-12.25,-25.74,SL,2025-12-01 16:26,2025-12-01 16:27,2025-12-01 16:28
44,2025-12-02 10:29,SHORT,25573.00,25612.02,25612.69,25573.00,25563.00,9.75,18.26,TP,2025-12-02 15:29,2025-12-02 15:30,2025-12-02 15:30
45,2025-12-02 10:45,LONG,25622.50,25598.61,25597.12,25622.25,25632.25,9.75,18.26,TP,2025-12-02 15:45,2025-12-02 15:46,2025-12-02 15:47
46,2025-12-02 11:10,SHORT,25583.00,25621.62,25625.08,25583.00,25573.00,9.75,18.26,TP,2025-12-02 16:10,2025-12-02 16:11,2025-12-02 16:11
47,2025-12-02 11:56,LONG,25522.50,25508.11,25507.32,25522.75,25510.75,-12.25,-25.74,SL,2025-12-02 16:56,2025-12-02 16:57,2025-12-02 16:57
48,2025-12-03 10:01,LONG,25519.75,25493.30,25491.90,25519.75,25529.75,9.75,18.26,TP,2025-12-03 15:01,2025-12-03 15:02,2025-12-03 15:02
49,2025-12-03 11:10,SHORT,25536.50,25569.47,25569.93,25536.75,25526.75,9.75,18.26,TP,2025-12-03 16:10,2025-12-03 16:11,2025-12-03 16:12
50,2025-12-03 11:31,LONG,25592.00,25564.90,25563.01,25592.25,25602.25,9.75,18.26,TP,2025-12-03 16:31,2025-12-03 16:32,2025-12-03 16:33
51,2025-12-03 11:55,SHORT,25551.75,25585.31,25586.98,25551.50,25541.50,9.75,18.26,TP,2025-12-03 16:55,2025-12-03 16:56,2025-12-03 16:57
52,2025-12-04 10:33,LONG,25595.25,25579.18,25578.21,25595.25,25605.25,9.75,18.26,TP,2025-12-04 15:33,2025-12-04 15:34,2025-12-04 15:34
53,2025-12-04 10:54,SHORT,25586.50,25596.78,25597.05,25586.75,25576.75,9.75,18.26,TP,2025-12-04 15:54,2025-12-04 15:55,2025-12-04 15:56
54,2025-12-04 11:23,LONG,25588.50,25567.79,25566.22,25589.25,25577.25,-12.25,-25.74,SL,2025-12-04 16:23,2025-12-04 16:24,2025-12-04 16:26
55,2025-12-05 10:45,SHORT,25799.00,25826.88,25828.92,25798.25,25810.25,-12.25,-25.74,SL,2025-12-05 15:45,2025-12-05 15:46,2025-12-05 15:46
56,2025-12-05 11:54,LONG,25735.00,25708.97,25707.08,25735.50,25745.50,9.75,18.26,TP,2025-12-05 16:54,2025-12-05 16:55,2025-12-05 16:56
57,2025-12-09 11:43,SHORT,25677.25,25690.63,25691.06,25677.25,25667.25,9.75,18.26,TP,2025-12-09 16:43,2025-12-09 16:44,2025-12-09 16:44
58,2025-12-09 11:51,LONG,25708.50,25692.27,25690.80,25708.75,25708.25,-0.75,-2.74,EOD,2025-12-09 16:51,2025-12-09 16:52,2025-12-09 17:00
59,2025-12-10 10:12,LONG,25643.50,25632.72,25632.36,25644.00,25632.00,-12.25,-25.74,SL,2025-12-10 15:12,2025-12-10 15:13,2025-12-10 15:13
60,2025-12-10 10:17,LONG,25641.25,25632.69,25632.27,25641.50,25651.50,9.75,18.26,TP,2025-12-10 15:17,2025-12-10 15:18,2025-12-10 15:19
61,2025-12-10 10:33,SHORT,25630.00,25635.15,25635.23,25629.75,25619.75,9.75,18.26,TP,2025-12-10 15:33,2025-12-10 15:34,2025-12-10 15:34
62,2025-12-10 11:14,LONG,25610.25,25583.97,25583.93,25611.25,25621.25,9.75,18.26,TP,2025-12-10 16:14,2025-12-10 16:15,2025-12-10 16:18
63,2025-12-11 10:14,LONG,25556.00,25517.91,25514.45,25556.25,25544.25,-12.25,-25.74,SL,2025-12-11 15:14,2025-12-11 15:15,2025-12-11 15:16
64,2025-12-11 10:43,SHORT,25533.75,25562.12,25563.84,25533.25,25523.25,9.75,18.26,TP,2025-12-11 15:43,2025-12-11 15:44,2025-12-11 15:44
65,2025-12-11 11:39,LONG,25527.00,25503.46,25503.30,25527.25,25537.25,9.75,18.26,TP,2025-12-11 16:39,2025-12-11 16:40,2025-12-11 16:40
66,2025-12-11 11:55,SHORT,25479.00,25523.22,25523.73,25478.25,25468.25,9.75,18.26,TP,2025-12-11 16:55,2025-12-11 16:56,2025-12-11 16:57
67,2025-12-15 10:47,LONG,25178.75,25144.73,25143.13,25178.75,25166.75,-12.25,-25.74,SL,2025-12-15 15:47,2025-12-15 15:48,2025-12-15 15:48
