#,Entry_ET,Direction,Score,ATR,Entry_Price,TP_Level,SL_Level,Exit_Price,PnL_Pts,PnL_USD,Exit_Reason,Entry_UTC,Exit_UTC
47,2025-11-14 11:29,SHORT,4,21.54,25258.25,25241.02,25284.09,25241.27,16.98,32.72,TP,2025-11-14 16:29,2025-11-14 16:29
48,2025-11-14 11:33,SHORT,4,21.54,25218.50,25201.27,25244.34,25244.59,-26.09,-53.43,SL,2025-11-14 16:33,2025-11-14 16:38
49,2025-11-14 11:59,SHORT,4,18.45,25246.50,25231.74,25268.64,25231.99,14.51,27.77,TP,2025-11-14 16:59,2025-11-14 17:00
50,2025-11-17 11:07,LONG,4,25.43,25013.50,25033.84,24982.99,24982.74,-30.76,-62.77,SL,2025-11-17 16:07,2025-11-17 16:14
51,2025-11-17 11:20,LONG,4,20.79,24961.25,24977.88,24936.31,24977.63,16.38,31.52,TP,2025-11-17 16:20,2025-11-17 16:23
52,2025-11-17 13:03,LONG,4,18.09,24980.50,24994.97,24958.79,24958.54,-21.96,-45.15,SL,2025-11-17 18:03,2025-11-17 18:08
53,2025-11-17 13:32,LONG,4,15.75,24967.50,24980.10,24948.60,24979.85,12.35,23.46,TP,2025-11-17 18:32,2025-11-17 18:37
54,2025-11-17 13:57,LONG,4,23.20,24928.25,24946.81,24900.41,24900.16,-28.09,-57.41,SL,2025-11-17 18:57,2025-11-17 18:58
55,2025-11-17 14:25,LONG,4,16.52,24862.25,24875.46,24842.43,24842.18,-20.07,-41.38,SL,2025-11-17 19:25,2025-11-17 19:25
56,2025-11-17 14:29,LONG,4,17.96,24839.00,24853.37,24817.44,24853.12,14.12,27.00,TP,2025-11-17 19:29,2025-11-17 19:29
57,2025-11-17 14:41,LONG,4,19.89,24797.75,24813.66,24773.88,24813.41,15.66,30.09,TP,2025-11-17 19:41,2025-11-17 19:44
58,2025-11-17 14:49,LONG,4,19.23,24788.25,24803.64,24765.17,24803.39,15.14,29.03,TP,2025-11-17 19:49,2025-11-17 19:49
59,2025-11-18 09:53,LONG,4,50.29,24593.25,24633.48,24532.91,24532.66,-60.59,-122.43,SL,2025-11-18 14:53,2025-11-18 14:59
60,2025-11-18 11:03,LONG,4,39.46,24395.50,24427.07,24348.14,24426.82,31.32,61.40,TP,2025-11-18 16:03,2025-11-18 16:05
61,2025-11-18 14:40,SHORT,4,22.52,24794.50,24776.49,24821.52,24776.74,17.76,34.29,TP,2025-11-18 19:40,2025-11-18 19:42
62,2025-11-18 15:29,LONG,4,20.34,24667.50,24683.77,24643.09,24683.52,16.02,30.80,TP,2025-11-18 20:29,2025-11-18 20:29
63,2025-11-19 09:46,SHORT,4,39.61,24762.75,24731.06,24810.28,24731.31,31.44,61.63,TP,2025-11-19 14:46,2025-11-19 14:46
64,2025-11-19 10:05,SHORT,4,26.36,24923.75,24902.66,24955.38,24902.91,20.84,40.43,TP,2025-11-19 15:05,2025-11-19 15:10
65,2025-11-19 11:01,LONG,4,24.36,24774.75,24794.24,24745.52,24745.27,-29.48,-60.20,SL,2025-11-19 16:01,2025-11-19 16:05
66,2025-11-19 12:37,LONG,4,28.88,24540.50,24563.60,24505.85,24563.35,22.85,44.46,TP,2025-11-19 17:37,2025-11-19 17:41
67,2025-11-19 14:27,LONG,4,21.14,24585.75,24602.66,24560.38,24602.41,16.66,32.09,TP,2025-11-19 19:27,2025-11-19 19:30
68,2025-11-20 10:00,SHORT,4,33.23,25275.00,25248.41,25314.88,25248.66,26.34,51.43,TP,2025-11-20 15:00,2025-11-20 15:05
69,2025-11-20 11:01,LONG,4,24.70,25129.50,25149.26,25099.86,25099.61,-29.89,-61.01,SL,2025-11-20 16:01,2025-11-20 16:04
70,2025-11-20 11:12,LONG,4,25.38,25063.75,25084.05,25033.30,25033.05,-30.70,-62.64,SL,2025-11-20 16:12,2025-11-20 16:12
71,2025-11-20 11:16,LONG,4,28.11,24982.25,25004.74,24948.52,24948.27,-33.98,-69.20,SL,2025-11-20 16:16,2025-11-20 16:17
72,2025-11-20 11:23,LONG,4,37.45,24907.75,24937.71,24862.81,24937.46,29.71,58.17,TP,2025-11-20 16:23,2025-11-20 16:25
73,2025-11-20 11:46,LONG,4,45.57,24755.75,24792.21,24701.06,24700.81,-54.94,-111.11,SL,2025-11-20 16:46,2025-11-20 16:47
74,2025-11-20 12:01,LONG,4,59.95,24570.00,24617.96,24498.06,24617.71,47.71,94.17,TP,2025-11-20 17:01,2025-11-20 17:01
75,2025-11-20 12:19,LONG,4,58.45,24410.50,24457.26,24340.36,24457.01,46.51,91.77,TP,2025-11-20 17:19,2025-11-20 17:21
76,2025-11-20 13:51,LONG,4,31.59,24266.25,24291.52,24228.34,24291.27,25.02,48.80,TP,2025-11-20 18:51,2025-11-20 18:58
77,2025-11-20 15:41,LONG,4,27.21,24165.50,24187.27,24132.84,24132.59,-32.91,-67.05,SL,2025-11-20 20:41,2025-11-20 20:46
78,2025-11-21 09:47,LONG,4,56.21,24112.75,24157.72,24045.29,24157.47,44.72,88.20,TP,2025-11-21 14:47,2025-11-21 14:47
79,2025-11-21 10:38,LONG,4,50.52,23956.00,23996.41,23895.38,23996.16,40.16,79.09,TP,2025-11-21 15:38,2025-11-21 15:41
80,2025-11-21 11:53,SHORT,4,28.73,24276.00,24253.01,24310.48,24310.73,-34.73,-70.70,SL,2025-11-21 16:53,2025-11-21 16:56
